id,University,College,Department,Position,Name,Title,Bio,Research,Interests
1,Carnegie Mellon University,College of Engineering,Biomedical Engineering,Faculty,Dr. Rosalyn Abbott,"Assistant Professor, Biomedical Engineering","Bio Rosalyn Abbott is an Assistant Professor in Biomedical Engineering with a courtesy appointment in Materials Science and Engineering. Professor Abbott received her B.S. and M.S. degrees in Biomedical Engineering from Rensselaer Polytechnic Institute and her Ph.D. degree in Bioengineering from the University of Vermont. She was subsequently a postdoctoral fellow in the Biomedical Engineering Department at Tufts University working under the supervision of Professor David Kaplan, where she developed adipose tissue engineered models. Her lab at CMU focuses on using tissue engineering to study metabolic dysregulation during the complex transition of obesity to insulin resistant type II diabetes. She is currently a Wimmer Faculty Fellow (2018-2019).          ","Research There is a critical need for monitoring physiologically relevant, sustainable, human tissues in vitro to gain new insights into metabolic diseases. In Professor Abbott’s lab, human adipose microenvironments are being developed and tested for responsiveness to stimuli hypothesized to alter disease mechanisms (i.e. the transition of obese tissues to insulin resistant type II diabetic tissues), metabolic behavior, and therapeutic potential. The lab focuses on integrating biomaterials with tissue engineering techniques and perfusion bioreactors. Specifically, silk is used as a natural biomaterial to support long term culture of adipose micro-environments in vitro. The ultimate goal is to use these adipose tissue systems to inform preventative and therapeutic measures for patients affected by the metabolic syndrome.  ", cell & tissue engineering; biomaterials; adipose microenvironments; disease modeling; tissue regeneration
2,Carnegie Mellon University,College of Engineering,Biomedical Engineering,Faculty,Dr. Amir Barati Farimani,"Assistant Professor, Mechanical Engineering and Biomedical Engineering","Bio Dr. Barati Farimani received his Ph.D. in 2015 in Mechanical Science and Engineering from University of Illinois at Urbana-Champaign. His PhD thesis was about ""Detecting and Sensing Biological Molecules using Nanopores"". He extensively used atomistic simulations to shed light on the DNA sensing and detection physics of biological and solid state nanopores. Right after that, he joined Professor Vijay Pande lab at Stanford. During his post-doc, he combined machine learning and molecular dynamics to elucidate the conformational changes of G-Protein Coupled Receptors (GPCRs). He specifically was focused on Mu-Opioid Receptors to elucidate their free energy landscape and their activation mechanism and pathway. The Barati Lab at Carnegie Mellon University is broadly interested in the application of machine learning, data science and molecular dynamics simulations to health and bio-engineering problems.          ","Research The main theme of our lab is doing research at the interface of bioengineering, machine learning and computation. We are combining molecular dynamic simulations, machine learning and statistical learning to understand and predict the properties and interactions of bio-molecules. To be more specific, we are focused on two types of problems: 1. Interactions and recognition of bio-molecules such as DNA with synthetic materials: We perform MD simulations to generate the trajectories. We use statistical learning techniques to learn the collective variables. This is an interesting area where statistical mechanic and machine learning coincides. 2. To understand small molecule and protein interaction. We are dealing with super high dimensional time-series data coming from MD simulations. Reducing the dimension of the data, and learning the reaction coordinates help us understand many fundamental biophysical and physiological mechanisms for protein conformation and dynamics. "," MD simulations, statistical learning "
3,Carnegie Mellon University,College of Engineering,Biomedical Engineering,Faculty,Dr. Alison Barth,"Professor, Biological Sciences and Biomedical Engineering","Bio Alison Barth studies plasticity in neurons. Her work focuses on understanding how experience transforms the properties of neurons to encode memory. Barth developed and patented the first tool to locate and characterize neurons activated by experience in a living animal, a transgenic mouse called the ""fosGFP"" mouse. These mice, which have been licensed to every major pharmaceutical company in the United States and distributed to more than 80 researchers worldwide, have facilitated studies into a wide range of neurological diseases as well as the study of learning and memory. Barth also conducts research on epilepsy. Her lab has identified a novel anticonvulsant target, an ion channel called the BK channel, whose activity is increased in response to a seizure. Barth has received the Society for Neuroscience’s ","Research Award for Innovation in Neuroscience and Career Development Award.          Research How does experience shape the brain? Research in the Barth lab is focused on understanding how experience assembles and alters the properties of neural circuits in the cerebral cortex, in both normal and disease states. The lab has a specific focus on somatosensation in the mouse model system, where specific types of sensory input from the skin are used to drive neural activity to change the strength of synaptic connections and the firing output of cortical neurons. This neural plasticity can result in enhanced perceptual capabilities and influence subsequent learning. A detailed examination of how synapses are changed by experience is revealing fundamental principles about both perception and learning across many neural systems. In addition, researchers in the lab are using electrophysiological recordings, electron microscopy, and computational modeling to understand how functional networks are constructed and optimized in the neocortex. Experiments take advantage of transgenic mice to manipulate gene expression and label defined neural subsets and whole-cell recording and imaging to quantitate the electrical properties of cortical neurons.  ", activity-dependent gene expression in the CNS; the cellular and synaptic mechanisms that underlie learning and memory; the effect of behavioral training on neural excitability and anatomy
4,Carnegie Mellon University,College of Engineering,Biomedical Engineering,Faculty,Dr. Marlene Behrmann,"George A. and Helen Dunham Cowan Professor, Cognitive Neuroscience, Psychology, and Biomedical Engineering","Bio Dr. Marlene Behrmann is a Professor of Psychology at Carnegie Mellon University, whose research specializes in the cognitive basis of visual perception, with a specific focus on object recognition. Dr. Behrmann received her B.A. in speech and hearing therapy in 1981, followed by her M.A. in speech pathology in 1984, both from the University of Witwatersrand in Johannesburg, South Africa. She then received a Ph.D. in Psychology from the University of Toronto in 1991. Dr. Behrmann was inducted into the National Academy of Sciences in 2015. Dr. Behrmann is widely considered to be a trailblazer and a worldwide leader in the field of visual cognition. The major approach she uses in her research is to study the behavior of human adults who have sustained brain damage (usually through stroke or head injury), which selectively affects their ability to carry out these processes.           ","Research training, Birkbeck College, University of London, 1984-1985 Ph.D., Psychology, University of Toronto, 1991  Bio Dr. Marlene Behrmann is a Professor of Psychology at Carnegie Mellon University, whose research specializes in the cognitive basis of visual perception, with a specific focus on object recognition. Dr. Behrmann received her B.A. in speech and hearing therapy in 1981, followed by her M.A. in speech pathology in 1984, both from the University of Witwatersrand in Johannesburg, South Africa. She then received a Ph.D. in Psychology from the University of Toronto in 1991. Dr. Behrmann was inducted into the National Academy of Sciences in 2015. Dr. Behrmann is widely considered to be a trailblazer and a worldwide leader in the field of visual cognition. The major approach she uses in her research is to study the behavior of human adults who have sustained brain damage (usually through stroke or head injury), which selectively affects their ability to carry out these processes.           Research Despite the fact that visual scenes may contain multiple objects and people, humans can recognize the objects and individuals with ease and accuracy. Research in Behrmanns lab focuses on studying how this is achieved - what are the necessary psychological processes and neural representations that underlie abilities such as object segmentation and recognition, face recognition, mental imagery, reading and writing and spatial attention? By exploiting multiple methodologies including fMRI, EEG and ERP and fNIRS with normal and brain-damaged adults and children, the goal is to elucidate computations and their neural correlates which subserve cortical vision.  ", visual system; human adult and children; brain damage; neuroscience; electrophysiology
5,Carnegie Mellon University,College of Engineering,Biomedical Engineering,Faculty,Dr. Christopher J. Bettinger,"Associate Professor, Biomedical Engineering and Materials Science & Engineering","Bio Dr. Bettinger received an S.B. in Chemical Engineering in 2003, an M.Eng. in Biomedical Engineering in 2004, and a Ph.D. in Materials Science and Engineering in 2008 as a Charles Stark Draper Fellow, all from the Massachusetts Institute of Technology. He completed his post-doctoral fellowship at Stanford University in the Department of Chemical Engineering as an NIH Ruth Kirschstein Fellow in 2010. He is currently an Associate Professor in the Departments of Biomedical Engineering and of Materials Science and Engineering at Carnegie Mellon University. He has received many honors including the MIT Department of Materials Science and Engineering Award for “Outstanding Ph.D. Thesis”, the ACS AkzoNobel Award for Polymer Chemistry, and the Tissue Engineering and Regenerative Medicine Society Young Investigator Award. Prof. Bettinger is also a co-inventor on several patents and was a finalist in the MIT $100K Entrepreneurship Competition. The Bettinger Group at Carnegie Mellon University is broadly interested in the applying principles of polymer synthesis, materials science, and microfabrication for use in next-generation biomedical devices for rehabilitation, regeneration, and controlled release. Members of the Bettinger Group work at the interface of several disciplines including polymer synthesis, characterization, microfabrication, and bioelectronics to achieve these goals.           ","Research The Laboratory for Therapeutic Biodegradable Microsystems is broadly interested in the development of biomaterials-based MEMS for use in a wide range of biomedical applications including regenerative medicine, neural interfaces, and drug delivery. We use interdisciplinary strategies to develop next generation medical implants that combine extraordinary properties of biodegradability and biocompatibility with unique mechanical properties and electronic functionality. Our laboratory is currently focused on several specific thrusts including: BioMEMS for tissue regeneration, biodegradable electronic devices, biomimetic tissue-device interfaces, non-conventional microfabrication of biomaterials, rational biomaterials synthesis, and quantitative elucidation of biodegradation phenomena.  ", BioMEMS for tissue regeneration; biodegradable electronic devices; biomimetic tissue-device interfaces; biomaterials synthesis; microfabrication of biomaterials 
6,Carnegie Mellon University,College of Engineering,Biomedical Engineering,Faculty,Dr. Marcel P. Bruchez,"Professor, Chemistry, Biological Sciences, and Biomedical Engineering","Bio Dr. Bruchez is a Professor for Biological Sciences and Chemistry as well as the Director for the Molecular Biosensors and Imaging Center. Dr. Bruchez develops new approaches to paint living cells and organisms to reveal their inner workings. Bruchez played a key role in developing quantum dots, nanometer-sized particles that can be used to tag proteins and label cells. At Carnegie Mellon University, Dr. Bruchez is extending the limits of fluorescent microscopy and fluorescent probes, and is applying these tools to the study of how protein synthesis, trafficking and degradation is coordinated and regulated in biological systems, and using photochemical tools to measure and manipulate biological processes in living organisms.          ","Research The research of Professor Bruchez has focused on the development of highly sensitive fluorescence labeling methods that can be used without any washing, to directly report on cellular activity or physiology in intact cells, tissues or organisms. His group has used a combination of genetically encoded tags and environmentally sensitive dyes to establish a broadly applicable toolset for imaging multicellular processes and local physiology in complex multicellular systems. These tools have revealed fundamental trafficking processes and new modes of intercellular antigen transfer, enabling new approaches to vaccine and therapeutic development. Professor Bruchez, a Technology Review “Top 100 Young Innovators” honoree, holds 28 patents, has published 65 peer-reviewed papers, and has received numerous recognitions for his work. ", fluorescent probes for cell imaging; luminescent nanocrystal probes
7,Carnegie Mellon University,College of Engineering,Biomedical Engineering,Faculty,Dr. Yang G. Cai,"Associate Research Professor, Biomedical Engineering","Bio Cai is Director of Visual Intelligence Studio, Senior Systems Scientist of Cylab Institute, and Associate ","Research Professor, Biomedical Engineering                               Contact    CIC 2218, CyLab  Email  412 268 5612   Address                                                             CIC 2218, CyLab                                                                                         Carnegie Mellon University                                                                                          4720 Forbes Avenue                                                                                         Pittsburgh, PA 15213       Lab Website Read More Publications                          function addLoadEvent(func) {                         var oldonload = window.onload;                         if (typeof window.onload != function) {                             window.onload = func;                         } else {                             window.onload = function() {                             if (oldonload) {                                 oldonload();                             }                             func();                             }                           }                         }                            Education  Ph.D., West Virginia University, 1997  Bio Cai is Director of Visual Intelligence Studio, Senior Systems Scientist of Cylab Institute, and Associate Research Professor of Biomedical Engineering. He has published a textbook on “Ambient Diagnostics” (CRC, 2014) for affordable medical diagnoses using mobile devices, webcam, pill camera, and social media. He recently published a monograph about the next generation of artificial intelligence that incorporates ""Instinctive Computing"" (Springer, 2016) algorithms such as motion perception, foraging, and default operations. Cai taught courses: “Cognitive Video”,“Image, Video and Multimedia” at ECE, “Innovation Process” at SCS, and the university-wide course “Creativity” at CMU. In collaborating with Professors Dennis Trumble and Shyam Thakkar, Cai advised projects in the BME course “Clinical Practicum.""          Research Cai’s research team is currently developing an augmented reality device that provides on-demand information to first responders and medical professionals. He team collaborates with endoscopists to enable a computational “dashboard” to measure the quality of diagnostic procedures from real-time videos in endoscopy labs. The team is also working on mobile phone apps for GI symptom monitoring, fall detection, and indoor localization for elderly users.  ", augmented reality; video analytics; artificial intelligence; ambient diagnostics; interactive visualization
8,Carnegie Mellon University,College of Engineering,Biomedical Engineering,Faculty,Dr. Phil G. Campbell,"Research Professor, Biomedical Engineering, Engineering Research Accelerator, Biological Sciences, and Materials Science & Engineering",Bio Dr. Phil Campbell is a ,"Research Professor, Biomedical Engineering, Engineering Research Accelerator, Biological Sciences, and Materials Science & Engineering                               Contact    Scott Hall 6115  Email  412 268 4126 412 268 5229   Address                                                             Scott Hall 6115                                                                                         Carnegie Mellon University                                                                                          5000 Forbes Avenue                                                                                          Pittsburgh, PA 15213       Publications                          function addLoadEvent(func) {                         var oldonload = window.onload;                         if (typeof window.onload != function) {                             window.onload = func;                         } else {                             window.onload = function() {                             if (oldonload) {                                 oldonload();                             }                             func();                             }                           }                         }                            Education  B.S. & M.S., Animal Science, Auburn University Ph.D., Physiology, Pennsylvania State University, 1985  Bio Dr. Phil Campbell is a Research Professor in the Department of Biomedical Engineering and the Institute for Complex Engineered Systems at the Carnegie Institute of Technology (School of Engineering) at Carnegie Mellon University (CMU) in Pittsburgh. In addition, he holds courtesy appointments in CMU’s Departments of Biological Sciences and Materials Science and Engineering. Dr. Campbell is also a Faculty Member of the Molecular Biosensor and Imaging Center (Mellon College of Science) at CMU. Dr. Campbell is a member of the Endocrine Society, the American Society of Bone and Mineral Research, and the International Bone and Mineral Society. He serves as a publications reviewer for numerous journals, including but not limited to, Tissue Engineering, Biomaterials, Endocrinology, the Journal of Endocrinology, and Nanomedicine. Dr. Campbell is a grant reviewer for the National Science Foundation, the Veteran’s Administration, the Medical Research Council of Canada, NASA, amongst others.     Research Professor Campbell has over 25 years’ experience in multidisciplinary research with both engineers and clinicians to develop unique solutions to a wide variety of complex biomedical problems, including the development of natural-based biomaterials, implant biocompatibility, and tissue engineering. One of his overarching research themes involves understanding and engineering the cellular microenvironment from an endocrine point of view, both in vitro and in vivo. The study encompasses growth factor interstitial transport, interactions with receptors and non-receptor binding proteins, immobilization and proteolytic processing of extracellular matrix bound growth factors and other signaling molecules, and live cell and animal imaging. His research has taken advantage of biopatterned microenvironments to spatially deliver signaling molecules to spatially control cell behavior in vitro and tissue formation in vivo toward musculoskeletal, cardiac, immunological and cancer applications. ", bioavailability and proteolytic processing of growth factors; musculoskeletal tissue repair and regeneration; biomimetic tissue engineering materials
9,Carnegie Mellon University,College of Engineering,Biomedical Engineering,Faculty,Dr. Maysam Chamanzar,"Assistant Professor, Electrical and Computer Engineering and Biomedical Engineering","Bio Maysam Chamanzar joined the ECE department at Carnegie Mellon University in 2015, with currently a joint appointment in the Department of Biomedical Engineering. He was with the EECS department at UC Berkeley as a postdoc researcher and later as a research scientist from 2012 to 2015. He received his Ph.D. in Electrical and Computer Engineering from Georgia Tech in 2012. His dissertation on developing novel hybrid plasmonic-photonic on-chip biochemical sensors received the Sigma Xi best Ph.D. thesis award. He is also the recipient of a number of awards including the SPIE research excellence award and GTRIC innovation award, and became the finalist for the OSA Emil Wolf best paper award and Edison innovation award.         ","Research Professor Chamanzar’s group is designing and implementing novel devices and methods to address outstanding needs in biology and medicine. The main application areas of interest are Neuroscience and Biophotonics. Research on Neuroengineering includes developing next generation multimodal (Acousto-opto-electrical) neural interfaces to understand the neural basis of brain function and realize functional brain-machine interfaces. The Biophotonics front is focused on developing efficient hybrid photonic-plasmonic-fluidic on-chip systems for point of care diagnostics, environmental monitoring, imaging, and spectroscopy. The scope of research encompasses theoretical design and simulation, fabrication and packaging, experimental benchtop characterization, as well as in-vivo, in-vitro, and ex-vivo tests on biological systems. ", neural engineering; multimodal (electro-acousto-optical) neural interfacing; bio-photonics; optogenetics; bio-sensing
10,Carnegie Mellon University,College of Engineering,Biomedical Engineering,Faculty,Dr. Steven M. Chase,"Associate Professor, Biomedical Engineering and Center for the Neural Basis of Cognition","Bio Steven Chase uses brain-computer interfaces to study motor learning and skill acquisition. His work stands to provide a better understanding of how movement information is represented in networks of neurons in the brain and will inform the development of neural prosthetics. Chase is jointly appointed in Biomedical Engineering and the Center for the Neural Basis of Cognition, and holds courtesy appointments in Electrical and Computer Engineering and the Robotics Institute.  Chase is a recipient of the National Science Foundation’s CAREER Award and the Dean’s Early Career Fellowship, and was a Wimmer Faculty Fellow in 2013-14.  His work has been supported by the NIH, NSF, DARPA, IARPA, the Craig H. Neilsen Foundation, the Shurl and Kay Curci Foundation, and the Pennsylvania Department of Health.          ","Research Research in the Chase lab has two main thrusts.  First, we develop novel computational and experimental techniques for investigating the neural basis of motor control and motor learning.  One of the major tools we use is the brain-computer interface (BCI), which allows us to tap into the output of a network of neurons and use that recorded activity to directly drive a device, like a computer cursor. We are currently investigating the neural basis of skill acquisition, motor learning transfer, and the subcortical contributions to learning.  Ultimately a basic understanding of these phenomena will not only inform us about the fundamental limits of motor control processes, but will also help propel the development of new neural prosthetic devices.  The second research thrust in the lab is to design new BCI decoding algorithms that enhance their performance and hasten their clinical translation.  We are currently working on decoders that leverage learning to achieve better performance, as well as techniques for stabilizing neural signals to provide long-term BCI control without recalibration.  ", brain-computer interfaces; neural engineering; motor learning; motor control
